OrderNumber,CustomerCode,OrderDate,RequiredDate,SalesPersonCode,ShippingMethod,PaymentTerms,Status,Priority,TotalAmount,Tax,Currency,BillingAddress,ShippingAddress
SO20250820139,CUST0478,2025-08-05,2025-09-02,SALES004,Overnight,NET45,On Hold,High,2182.44,128.38,CAD,6551 Second St Buffalo NY 48297,4414 Commerce Ave Generic City WA 10875
SO20250820140,CUST0286,2025-08-17,2025-08-29,SALES001,Express,COD,Closed,Normal,1945.93,135.76,EUR,177 First Ave Generic City NJ 86135,177 First Ave Generic City NJ 86135
SO20250820141,CUST0187,2025-08-17,2025-08-27,SALES001,Express,COD,Closed,High,5262.46,389.81,USD,6960 Park Blvd Generic City VA 83258,7101 Industrial Dr Miami FL 71588
SO20250820142,CUST0268,2025-08-18,2025-08-28,SALES006,Express,NET45,On Hold,Low,1866.8799999999999,142.28,CAD,2667 Park Rd Generic City MA 40151,3527 Warehouse Blvd Miami FL 41500
SO20250820143,CUST0307,2025-08-09,2025-08-23,SALES007,Ground,Credit Card,Cancelled,High,1030.22,85.06,CAD,4855 Elm St Generic City MA 22188,4855 Elm St Generic City MA 22188
SO20250820144,CUST0318,2025-07-26,2025-08-30,SALES008,Pickup,NET45,Delivered,High,3925.03,273.84,EUR,7689 Main Blvd Generic City AZ 87131,6932 Corporate Rd Fort Worth TX 18893
SO20250820145,CUST0309,2025-08-11,2025-08-26,SALES007,2-Day,Credit Card,Delivered,Urgent,3259.23,191.72,USD,4209 Main Blvd Generic City NJ 71622,4209 Main Blvd Generic City NJ 71622
SO20250820146,CUST0460,2025-08-08,2025-08-29,SALES002,Ground,Credit Card,On Hold,Low,4396.32,335.05,CAD,3615 Main Dr Generic City OH 31174,7537 Commerce Dr Generic City MA 85520
SO20250820147,CUST0302,2025-08-17,2025-08-27,SALES006,Freight,COD,Processing,Normal,1353.4899999999998,79.62,USD,8915 Washington Blvd Austin TX 67626,7460 Commerce Ave Generic City MA 60467
SO20250820148,CUST0168,2025-07-26,2025-08-28,SALES003,Freight,NET15,Closed,Normal,944.9399999999999,72.02,EUR,2796 First Rd Generic City MI 98312,2796 First Rd Generic City MI 98312
SO20250820149,CUST0320,2025-07-23,2025-08-27,SALES001,Pickup,Credit Card,Shipped,Low,3709.3500000000004,306.28,CAD,3267 Second Ave Generic City MA 18088,7566 Corporate Ave Springfield IL 26250
SO20250820150,CUST0272,2025-08-10,2025-08-26,SALES007,Overnight,NET15,Delivered,Low,4070.85,301.54,CAD,4539 Elm Blvd Generic City NC 10297,4539 Elm Blvd Generic City NC 10297
SO20250820151,CUST0383,2025-07-28,2025-08-25,SALES001,Overnight,NET45,Delivered,Low,1307.18,76.89,USD,5217 Washington St Generic City VA 68265,2703 Warehouse Dr Generic City MI 78688
SO20250820152,CUST0380,2025-08-15,2025-08-23,SALES006,Pickup,NET45,Processing,Urgent,4024.1600000000003,298.09,EUR,9532 Washington Rd Generic City VA 29556,9874 Corporate Ave Generic City PA 63876
SO20250820153,CUST0209,2025-07-31,2025-09-03,SALES006,2-Day,COD,Cancelled,High,4503.99,314.23,EUR,1080 Washington Blvd Generic City GA 34577,5909 Warehouse St Generic City VA 66382
SO20250820154,CUST0355,2025-07-26,2025-08-28,SALES008,Ground,Credit Card,Shipped,Normal,63.76,3.75,CAD,428 First St Springfield IL 30683,428 First St Springfield IL 30683
SO20250820155,CUST0489,2025-07-26,2025-08-21,SALES001,2-Day,NET15,Processing,Low,3708.9500000000003,282.67,CAD,7969 Washington St Generic City PA 67385,7969 Washington St Generic City PA 67385
SO20250820156,CUST0080,2025-07-23,2025-08-28,SALES008,Ground,COD,Delivered,Normal,103.56,7.67,USD,2676 Park Rd Generic City VA 13082,2676 Park Rd Generic City VA 13082
SO20250820157,CUST0108,2025-08-04,2025-08-29,SALES002,Overnight,Wire Transfer,Delivered,Urgent,774.74,54.05,CAD,5797 First Ave Houston TX 19419,5797 First Ave Houston TX 19419
SO20250820158,CUST0119,2025-08-02,2025-08-22,SALES006,Freight,NET45,Delivered,High,729.88,55.63,USD,6390 Washington Dr Generic City AZ 77157,6390 Washington Dr Generic City AZ 77157
SO20250820159,CUST0335,2025-08-19,2025-08-31,SALES004,Overnight,Credit Card,Open,Urgent,1766.1799999999998,130.83,USD,6536 Main Ave Generic City NJ 43733,6536 Main Ave Generic City NJ 43733
SO20250820160,CUST0320,2025-07-24,2025-08-28,SALES004,Ground,NET30,Processing,Low,2111.09,160.89,CAD,169 First Ave Generic City PA 93220,169 First Ave Generic City PA 93220
SO20250820161,CUST0081,2025-07-31,2025-08-31,SALES002,Pickup,COD,Closed,High,1836.05,128.1,EUR,1300 Second Rd Generic City VA 97232,1300 Second Rd Generic City VA 97232
SO20250820162,CUST0284,2025-07-23,2025-08-22,SALES004,Freight,NET15,Shipped,Urgent,1047.72,73.1,CAD,9240 Washington Rd Generic City WA 60442,9240 Washington Rd Generic City WA 60442
SO20250820163,CUST0171,2025-07-25,2025-08-26,SALES003,Overnight,NET15,Shipped,Low,2408.73,178.42,EUR,237 First Ave Generic City PA 91644,6628 Warehouse Dr Fort Worth TX 44987
SO20250820164,CUST0149,2025-08-18,2025-08-23,SALES004,2-Day,Wire Transfer,Closed,Urgent,5040.63,373.38,EUR,6639 Oak Blvd Generic City OH 66477,6639 Oak Blvd Generic City OH 66477
SO20250820165,CUST0197,2025-07-31,2025-08-23,SALES006,Pickup,NET45,Open,High,2658.19,219.48,CAD,1337 Washington Rd Generic City VA 36313,1337 Washington Rd Generic City VA 36313
SO20250820166,CUST0267,2025-08-12,2025-08-30,SALES006,Express,NET15,On Hold,Normal,4344.79,321.84,CAD,8782 Elm St Generic City WA 97692,8782 Elm St Generic City WA 97692
SO20250820167,CUST0253,2025-08-07,2025-09-01,SALES003,Ground,NET30,Shipped,Urgent,2179.85,166.13,USD,7170 Washington Blvd Generic City PA 42540,7170 Washington Blvd Generic City PA 42540
SO20250820168,CUST0073,2025-08-16,2025-09-03,SALES005,Overnight,NET15,Cancelled,Low,632.95,52.26,EUR,9649 Elm Dr San Francisco CA 19476,9649 Elm Dr San Francisco CA 19476
SO20250820169,CUST0275,2025-08-12,2025-08-21,SALES005,Express,COD,On Hold,High,4391.71,334.7,EUR,9954 Oak St Sacramento CA 11861,9954 Oak St Sacramento CA 11861
SO20250820170,CUST0010,2025-08-10,2025-08-29,SALES001,2-Day,Wire Transfer,Closed,Low,1478.63,103.16,USD,5669 Main Rd Chicago IL 24720,5669 Main Rd Chicago IL 24720
SO20250820171,CUST0458,2025-08-19,2025-08-26,SALES007,Pickup,NET30,Shipped,Urgent,3391.58,199.5,USD,6832 Elm Dr Los Angeles CA 84500,6832 Elm Dr Los Angeles CA 84500
SO20250820172,CUST0012,2025-07-23,2025-08-23,SALES002,Express,NET45,Delivered,Urgent,4181.87,291.76,EUR,5780 Park Rd San Francisco CA 34922,5780 Park Rd San Francisco CA 34922
SO20250820173,CUST0082,2025-08-19,2025-08-28,SALES005,Freight,Credit Card,On Hold,High,3240.21,226.06,CAD,2535 Main Ave Fort Worth TX 39372,2535 Main Ave Fort Worth TX 39372
SO20250820174,CUST0432,2025-08-12,2025-09-01,SALES007,2-Day,COD,Cancelled,High,3815.86,224.46,CAD,8144 Washington Rd Generic City OH 92800,8144 Washington Rd Generic City OH 92800
SO20250820175,CUST0012,2025-08-11,2025-08-30,SALES006,Ground,NET45,Processing,Urgent,3533.0200000000004,269.26,CAD,8756 Second Ave Generic City PA 83864,2182 Industrial St Tampa FL 71835
SO20250820176,CUST0076,2025-08-12,2025-09-01,SALES008,Overnight,NET45,Open,Normal,579.16,40.41,EUR,6048 Second Blvd Generic City AZ 52021,6048 Second Blvd Generic City AZ 52021
SO20250820177,CUST0061,2025-08-04,2025-09-01,SALES001,Pickup,NET45,On Hold,Normal,1695.59,99.74,EUR,4544 Elm Blvd Orlando FL 28449,4544 Elm Blvd Orlando FL 28449
SO20250820178,CUST0243,2025-08-04,2025-08-29,SALES006,Freight,Credit Card,Closed,Low,136.39,11.26,CAD,3313 Oak Blvd Generic City PA 97071,7611 Corporate Ave Generic City OH 28200
SO20250820179,CUST0123,2025-08-07,2025-08-29,SALES004,Ground,NET30,Delivered,High,4816.9400000000005,283.35,EUR,5742 First Dr Tallahassee FL 83534,2737 Industrial Rd Generic City WA 12326
SO20250820180,CUST0046,2025-07-24,2025-08-28,SALES008,Ground,Wire Transfer,Open,Urgent,3069.3,227.36,USD,9461 First Blvd Albany NY 69615,9461 First Blvd Albany NY 69615
SO20250820181,CUST0187,2025-07-30,2025-08-24,SALES005,Ground,Wire Transfer,Shipped,Normal,216.85,15.13,USD,8760 Second Dr Miami FL 71428,7055 Corporate Dr Generic City NJ 43686
SO20250820182,CUST0241,2025-08-05,2025-08-31,SALES003,Ground,Wire Transfer,Open,Low,1647.6499999999999,136.04,USD,4145 Elm Dr Generic City NC 83113,4145 Elm Dr Generic City NC 83113
SO20250820183,CUST0010,2025-07-26,2025-08-22,SALES008,Overnight,Wire Transfer,Delivered,High,1061.1299999999999,78.6,USD,3569 Park Ave Rochester NY 90735,3569 Park Ave Rochester NY 90735
SO20250820184,CUST0136,2025-08-16,2025-08-26,SALES008,Overnight,COD,On Hold,Normal,2492.78,184.65,CAD,884 Oak St Generic City NJ 96293,3158 Commerce St Generic City NC 46958
SO20250820185,CUST0270,2025-08-11,2025-08-27,SALES001,Express,Wire Transfer,Delivered,Normal,3175.04,241.98,EUR,8980 Washington Rd Generic City WA 49024,8980 Washington Rd Generic City WA 49024
SO20250820186,CUST0402,2025-08-20,2025-09-02,SALES005,Overnight,NET45,Cancelled,Normal,3633.81,300.04,CAD,1017 Second Rd Generic City GA 42039,1017 Second Rd Generic City GA 42039
SO20250820187,CUST0091,2025-08-04,2025-08-26,SALES004,Express,Wire Transfer,Cancelled,Low,5350.71,396.35,CAD,6976 Elm Dr Generic City OH 87601,7509 Warehouse St Generic City OH 78133
SO20250820188,CUST0390,2025-08-02,2025-08-29,SALES007,Express,Wire Transfer,Delivered,Low,4703.5599999999995,348.41,EUR,5474 Washington Rd Generic City VA 27703,9279 Business Dr Los Angeles CA 32664
SO20250820189,CUST0118,2025-07-21,2025-08-31,SALES006,Pickup,NET15,Open,High,1199.5500000000002,91.42,EUR,6670 Elm Ave Generic City OH 76215,5884 Business Rd Generic City MI 91563
SO20250820190,CUST0450,2025-08-05,2025-08-31,SALES008,Freight,NET15,Cancelled,Urgent,4364.45,304.5,USD,2120 Main St Fort Worth TX 22768,6781 Corporate Rd Syracuse NY 17563
SO20250820191,CUST0203,2025-08-15,2025-08-26,SALES002,2-Day,COD,Shipped,High,1421.4899999999998,117.37,USD,7395 Main St Generic City MI 97005,7395 Main St Generic City MI 97005
SO20250820192,CUST0001,2025-07-29,2025-08-25,SALES006,Freight,Wire Transfer,Delivered,Normal,887.1999999999999,61.9,CAD,9752 Second Dr Generic City AZ 55818,4972 Warehouse Ave Syracuse NY 15881
SO20250820193,CUST0487,2025-08-09,2025-08-22,SALES008,Ground,Credit Card,Delivered,Normal,394.02,27.49,CAD,5466 Oak Dr Tampa FL 70725,5466 Oak Dr Tampa FL 70725
SO20250820194,CUST0230,2025-07-30,2025-08-28,SALES008,Overnight,NET30,Shipped,Normal,4326.34,320.47,EUR,5386 Main Ave Generic City AZ 97243,5386 Main Ave Generic City AZ 97243
SO20250820195,CUST0154,2025-07-29,2025-08-31,SALES008,Freight,NET15,Shipped,Low,4852.1,285.42,EUR,8455 Main Dr Generic City MA 21185,7986 Business Dr Generic City MI 61516
SO20250820196,CUST0455,2025-07-29,2025-08-27,SALES008,Pickup,NET45,Delivered,Normal,2498.67,174.33,CAD,6133 Second Dr Generic City WA 75595,6133 Second Dr Generic City WA 75595
SO20250820197,CUST0126,2025-07-26,2025-09-01,SALES001,Express,NET30,Shipped,Normal,5073.58,418.92,CAD,6037 First Rd Generic City VA 68391,8121 Industrial Blvd Generic City MA 11378
SO20250820198,CUST0243,2025-08-03,2025-09-02,SALES002,Pickup,NET15,Cancelled,Urgent,2834.59,197.76,EUR,7657 Washington Dr Generic City MI 45131,3105 Corporate St Generic City OH 44119
SO20250820199,CUST0313,2025-07-29,2025-08-31,SALES004,Pickup,COD,Cancelled,Normal,4185.09,318.96,USD,5568 Second Blvd Generic City AZ 43510,5568 Second Blvd Generic City AZ 43510
SO20250820200,CUST0445,2025-07-27,2025-08-21,SALES006,Ground,Wire Transfer,Closed,High,4815.98,367.04,USD,6553 Oak Dr Dallas TX 29017,5976 Commerce Dr Los Angeles CA 43944
SO20250820201,CUST0029,2025-08-06,2025-08-29,SALES008,Pickup,Wire Transfer,On Hold,Low,4582.82,378.4,USD,6062 Washington Ave San Francisco CA 72445,6909 Business Ave Generic City NJ 73272
SO20250820202,CUST0473,2025-07-31,2025-08-23,SALES006,Freight,Wire Transfer,Closed,Urgent,2476.7000000000003,145.69,CAD,8567 Park Rd Generic City PA 14840,8567 Park Rd Generic City PA 14840
SO20250820203,CUST0094,2025-07-29,2025-08-30,SALES007,Freight,Credit Card,Open,High,3798.87,265.04,CAD,2185 Park Ave Dallas TX 38428,3575 Industrial Dr Generic City AZ 76756
SO20250820204,CUST0293,2025-08-14,2025-08-28,SALES005,Overnight,NET15,Processing,Low,2399.17,198.1,EUR,5993 Second Dr Chicago IL 20956,5993 Second Dr Chicago IL 20956
SO20250820205,CUST0380,2025-08-01,2025-08-22,SALES005,Express,Wire Transfer,Cancelled,High,3916.12,290.08,CAD,7848 Second Blvd Generic City WA 54039,7848 Second Blvd Generic City WA 54039
SO20250820206,CUST0081,2025-08-16,2025-08-24,SALES006,2-Day,NET30,Cancelled,High,3634.49,276.99,USD,2522 Park Ave Houston TX 89738,5946 Industrial Rd Generic City WA 67518
SO20250820207,CUST0270,2025-08-01,2025-08-28,SALES002,2-Day,Wire Transfer,Processing,High,1651.83,115.24,CAD,8272 First Dr Generic City NC 46304,8272 First Dr Generic City NC 46304
SO20250820208,CUST0165,2025-08-19,2025-08-28,SALES003,Freight,NET30,Open,Low,5393.11,399.49,EUR,8723 Park St Generic City NJ 80758,8723 Park St Generic City NJ 80758
SO20250820209,CUST0207,2025-07-28,2025-08-25,SALES006,Ground,Wire Transfer,Cancelled,High,3531.63,261.6,EUR,124 Park Rd Dallas TX 99185,4359 Business Dr Generic City GA 67048
SO20250820210,CUST0041,2025-08-02,2025-08-24,SALES008,Freight,Wire Transfer,Closed,Urgent,1092.9,83.29,EUR,5514 Oak Ave Rockford IL 40666,5514 Oak Ave Rockford IL 40666
SO20250820211,CUST0228,2025-08-06,2025-08-25,SALES007,Express,NET30,Delivered,Normal,4304.46,328.05,USD,1316 First St Generic City NC 33765,1316 First St Generic City NC 33765
SO20250820212,CUST0149,2025-08-14,2025-08-29,SALES008,Express,NET45,Shipped,Low,5121.22,301.25,EUR,5334 Elm St Chicago IL 43095,5334 Elm St Chicago IL 43095
SO20250820213,CUST0385,2025-08-07,2025-08-21,SALES008,Pickup,Credit Card,Delivered,Normal,1509.5600000000002,124.64,CAD,6812 Second St Generic City GA 84991,6812 Second St Generic City GA 84991
SO20250820214,CUST0380,2025-07-22,2025-08-26,SALES002,Freight,Credit Card,Open,Urgent,2632.9,183.69,CAD,3458 Park Dr Generic City OH 94612,3458 Park Dr Generic City OH 94612
SO20250820215,CUST0180,2025-08-04,2025-08-28,SALES005,Freight,Wire Transfer,Closed,High,2462.59,171.81,USD,4399 First Rd Generic City WA 61157,4399 First Rd Generic City WA 61157
SO20250820216,CUST0223,2025-08-13,2025-09-03,SALES006,Express,NET45,Delivered,High,2602.61,192.79,USD,1400 Oak Ave Generic City GA 76530,1400 Oak Ave Generic City GA 76530
SO20250820217,CUST0234,2025-08-06,2025-08-26,SALES007,Ground,Credit Card,Open,Urgent,2068.71,170.81,EUR,2178 Elm Ave Generic City NC 87941,2178 Elm Ave Generic City NC 87941
SO20250820218,CUST0399,2025-08-20,2025-08-21,SALES006,Freight,NET15,Shipped,High,4016.31,306.09,USD,9119 First Blvd Generic City OH 14248,9119 First Blvd Generic City OH 14248
SO20250820219,CUST0291,2025-08-18,2025-08-30,SALES004,2-Day,NET45,Processing,High,727.59,55.45,USD,3938 Oak St Buffalo NY 63270,3938 Oak St Buffalo NY 63270
SO20250820220,CUST0104,2025-08-09,2025-09-02,SALES004,Pickup,NET45,Closed,Urgent,5086.9,420.02,EUR,9444 Second Ave Generic City NC 76030,9444 Second Ave Generic City NC 76030
SO20250820221,CUST0361,2025-08-17,2025-08-30,SALES007,Ground,Credit Card,Delivered,Urgent,3469.27,286.45,EUR,7900 Oak Dr Generic City AZ 65695,7900 Oak Dr Generic City AZ 65695
SO20250820222,CUST0302,2025-07-22,2025-08-28,SALES008,Express,Credit Card,Cancelled,Normal,4584.86,349.42,USD,9428 Second Rd Generic City MI 52716,4889 Business Blvd Dallas TX 96738
SO20250820223,CUST0024,2025-08-06,2025-09-01,SALES003,Freight,COD,Processing,Low,146.39,11.16,EUR,2517 Second Blvd Tampa FL 29361,2517 Second Blvd Tampa FL 29361
SO20250820224,CUST0082,2025-08-09,2025-08-25,SALES007,Express,NET15,Shipped,High,4007.73,305.44,CAD,7617 Second Blvd Los Angeles CA 36646,7617 Second Blvd Los Angeles CA 36646
SO20250820225,CUST0431,2025-07-27,2025-09-01,SALES008,Express,NET45,On Hold,High,3921.34,323.78,EUR,8390 Elm Rd Generic City GA 49866,8390 Elm Rd Generic City GA 49866
SO20250820226,CUST0169,2025-07-29,2025-08-26,SALES004,Pickup,Credit Card,On Hold,Low,1103.27,84.08,CAD,2425 Second Rd Generic City MI 38432,7529 Commerce Blvd Generic City PA 20757
SO20250820227,CUST0409,2025-08-14,2025-09-03,SALES001,Overnight,Credit Card,Delivered,Urgent,398.71,27.82,EUR,6459 Park Ave San Diego CA 82455,6459 Park Ave San Diego CA 82455
SO20250820228,CUST0015,2025-07-25,2025-08-23,SALES008,Freight,NET45,Processing,Urgent,656.84,54.23,USD,3748 Second St Chicago IL 72841,3748 Second St Chicago IL 72841
SO20250820229,CUST0446,2025-07-23,2025-08-27,SALES004,Freight,NET15,On Hold,High,234.38,19.35,CAD,7064 Washington Rd Generic City NJ 26203,7064 Washington Rd Generic City NJ 26203
SO20250820230,CUST0083,2025-08-14,2025-08-29,SALES007,Overnight,NET45,Cancelled,Urgent,5060.49,385.67,CAD,9342 First Dr Generic City PA 41917,4861 Commerce St Generic City WA 51740
SO20250820231,CUST0484,2025-07-28,2025-09-02,SALES008,Overnight,Wire Transfer,Processing,High,1616.41,112.77,CAD,522 Elm Rd Generic City VA 51963,2578 Industrial Blvd Generic City NC 73495
SO20250820232,CUST0258,2025-08-11,2025-09-02,SALES006,Overnight,Wire Transfer,Processing,Low,857.3599999999999,50.43,USD,1503 First St Generic City WA 71199,9600 Industrial St Generic City MA 63224
SO20250820233,CUST0195,2025-08-20,2025-08-29,SALES002,Overnight,Wire Transfer,On Hold,Low,1889.16,139.94,EUR,1563 Oak Blvd Generic City OH 12181,837 Commerce St Generic City GA 50879
SO20250820234,CUST0172,2025-08-03,2025-08-25,SALES001,Pickup,Credit Card,Closed,Normal,3346.5099999999998,196.85,CAD,6398 First Rd Generic City AZ 50337,6398 First Rd Generic City AZ 50337
SO20250820235,CUST0171,2025-08-07,2025-08-31,SALES006,Pickup,Wire Transfer,On Hold,Low,4279.26,326.13,USD,6710 First Dr Generic City NC 28363,5428 Warehouse St Peoria IL 73506
SO20250820236,CUST0020,2025-08-04,2025-09-01,SALES004,Express,NET45,Open,High,1460.75,120.61,EUR,6676 Elm Ave Generic City AZ 97974,6676 Elm Ave Generic City AZ 97974
SO20250820237,CUST0395,2025-08-19,2025-09-01,SALES001,2-Day,NET45,Processing,Low,3839.3199999999997,317.01,EUR,8223 Elm Ave Generic City WA 51442,8223 Elm Ave Generic City WA 51442
SO20250820238,CUST0006,2025-07-30,2025-08-30,SALES007,Ground,Wire Transfer,Delivered,Low,1183.44,90.19,USD,6620 Second Rd Generic City MI 83524,6620 Second Rd Generic City MI 83524
SO20250820239,CUST0458,2025-08-20,2025-08-24,SALES005,Overnight,Credit Card,Open,Normal,1971.93,116.0,CAD,4378 Second Dr Peoria IL 30114,4378 Second Dr Peoria IL 30114
SO20250820240,CUST0119,2025-08-17,2025-08-23,SALES006,Express,COD,Open,Normal,2225.83,183.78,CAD,2750 Washington Rd Generic City OH 56485,8100 Business Blvd Generic City WA 14866
SO20250820241,CUST0285,2025-08-19,2025-08-31,SALES008,Ground,COD,Processing,Normal,4118.150000000001,313.85,USD,703 First Ave Generic City MA 60155,4442 Business Dr Generic City AZ 21477
SO20250820242,CUST0460,2025-08-07,2025-08-26,SALES001,2-Day,NET45,On Hold,Low,1044.91,77.4,CAD,9923 Washington Dr Generic City PA 88127,9923 Washington Dr Generic City PA 88127
SO20250820243,CUST0189,2025-08-12,2025-08-22,SALES002,Express,Wire Transfer,On Hold,Urgent,1426.53,117.79,CAD,2312 Main Rd Generic City AZ 34818,7378 Industrial Rd Generic City WA 61403
SO20250820244,CUST0477,2025-08-10,2025-09-01,SALES003,2-Day,NET30,On Hold,Urgent,67.15,5.12,CAD,5195 Second Blvd Generic City NJ 45423,5195 Second Blvd Generic City NJ 45423
SO20250820245,CUST0088,2025-08-07,2025-09-01,SALES002,Express,NET45,Processing,High,1794.39,132.92,CAD,3335 Oak Dr Oakland CA 29980,4291 Commerce Blvd Tallahassee FL 55177
SO20250820246,CUST0038,2025-07-25,2025-08-21,SALES006,2-Day,NET30,On Hold,High,4685.08,347.04,USD,8966 Park St Generic City PA 76919,316 Corporate Ave Generic City NJ 71710
SO20250820247,CUST0037,2025-08-16,2025-08-27,SALES004,Express,NET45,Open,Normal,2623.4500000000003,154.32,EUR,2581 Second Dr Generic City WA 30756,2581 Second Dr Generic City WA 30756
SO20250820248,CUST0125,2025-08-16,2025-08-27,SALES003,Overnight,COD,Cancelled,Urgent,1626.86,134.33,CAD,9613 Elm Blvd Generic City MA 60436,9613 Elm Blvd Generic City MA 60436
SO20250820249,CUST0229,2025-07-31,2025-09-01,SALES008,2-Day,Credit Card,Cancelled,Normal,1503.12,124.11,USD,3397 Second Dr Generic City WA 55426,3397 Second Dr Generic City WA 55426
SO20250820250,CUST0254,2025-08-15,2025-09-03,SALES007,Overnight,Credit Card,Shipped,Low,1286.06,98.01,CAD,3159 Main Ave Generic City NJ 19914,3159 Main Ave Generic City NJ 19914
SO20250820251,CUST0462,2025-07-29,2025-09-01,SALES004,Ground,COD,Delivered,Low,1332.8600000000001,78.4,USD,3203 Oak St Generic City NC 95745,3203 Oak St Generic City NC 95745
SO20250820252,CUST0499,2025-07-30,2025-09-01,SALES002,Freight,NET15,Open,Urgent,1523.37,89.61,USD,2314 Park St Jacksonville FL 25628,8759 Warehouse Blvd Tallahassee FL 35421
SO20250820253,CUST0037,2025-08-17,2025-08-26,SALES005,Pickup,NET30,Closed,Urgent,1966.63,137.21,CAD,5302 Park St Generic City WA 12816,5302 Park St Generic City WA 12816
SO20250820254,CUST0397,2025-08-07,2025-08-21,SALES007,Express,NET30,Cancelled,Urgent,373.51,28.47,USD,2960 Washington Ave Albany NY 50755,2469 Business St Generic City GA 93666
SO20250820255,CUST0401,2025-08-03,2025-09-01,SALES003,Overnight,Wire Transfer,Open,Normal,285.13,21.73,USD,8773 First St Los Angeles CA 20143,8773 First St Los Angeles CA 20143
SO20250820256,CUST0246,2025-07-24,2025-08-30,SALES008,Pickup,NET15,Delivered,Normal,255.05,21.06,CAD,3113 Washington Dr Generic City NJ 79595,3113 Washington Dr Generic City NJ 79595
SO20250820257,CUST0478,2025-08-09,2025-08-21,SALES004,Overnight,Credit Card,Open,Urgent,651.17,38.3,CAD,3310 Main Rd Jacksonville FL 99902,3338 Warehouse St San Diego CA 35560
SO20250820258,CUST0317,2025-08-20,2025-08-30,SALES003,Ground,NET15,Shipped,Urgent,2145.33,126.2,CAD,4761 Second Blvd Houston TX 77327,8675 Warehouse Rd Generic City MA 90746
SO20250820259,CUST0088,2025-08-18,2025-08-24,SALES003,Overnight,NET30,Closed,Low,5051.92,352.46,EUR,2933 Oak Rd Generic City WA 69442,2933 Oak Rd Generic City WA 69442
SO20250820260,CUST0090,2025-07-21,2025-09-02,SALES006,2-Day,NET15,Open,High,2997.86,222.06,CAD,4878 Oak St Generic City WA 76304,4878 Oak St Generic City WA 76304
SO20250820261,CUST0404,2025-08-11,2025-08-26,SALES005,Overnight,Credit Card,Open,Low,4446.38,367.13,USD,7120 Oak Dr Generic City VA 63882,7932 Business Blvd Generic City AZ 93692
SO20250820262,CUST0333,2025-08-09,2025-08-31,SALES001,2-Day,NET45,Closed,Normal,1951.08,114.77,EUR,613 Park Rd Generic City GA 17105,2472 Commerce St Sacramento CA 39756
SO20250820263,CUST0393,2025-08-09,2025-08-30,SALES001,2-Day,NET30,Processing,Normal,4363.87,323.25,EUR,4435 Main St Generic City OH 16391,4435 Main St Generic City OH 16391
SO20250820264,CUST0208,2025-08-20,2025-08-22,SALES004,Express,NET45,Processing,Low,939.11,65.52,CAD,3492 Main Dr Fort Worth TX 46218,3492 Main Dr Fort Worth TX 46218
SO20250820265,CUST0198,2025-08-08,2025-09-03,SALES004,Express,NET15,Delivered,Low,337.68,27.88,USD,227 Main Dr Miami FL 21234,227 Main Dr Miami FL 21234
SO20250820266,CUST0062,2025-08-01,2025-09-02,SALES005,2-Day,COD,Cancelled,High,1812.11,106.59,EUR,572 Park St Generic City NJ 88383,5551 Corporate Dr Dallas TX 40507
SO20250820267,CUST0327,2025-08-09,2025-08-23,SALES007,Express,NET45,Closed,High,2582.43,196.81,USD,4421 Main Ave Generic City PA 95479,8738 Corporate Dr Buffalo NY 22820
SO20250820268,CUST0028,2025-08-08,2025-08-27,SALES006,Pickup,COD,Open,Normal,3146.0299999999997,219.49,CAD,7313 Second Blvd Generic City MA 20636,7313 Second Blvd Generic City MA 20636
SO20250820269,CUST0297,2025-08-19,2025-08-26,SALES008,Ground,COD,Shipped,Normal,742.7,56.6,EUR,5799 Oak Dr Generic City MI 25993,5799 Oak Dr Generic City MI 25993
SO20250820270,CUST0238,2025-07-21,2025-08-29,SALES002,Overnight,Wire Transfer,Closed,Normal,2563.7,150.81,CAD,1633 Main Blvd Generic City AZ 31296,4896 Warehouse Blvd San Francisco CA 57744
SO20250820271,CUST0455,2025-08-11,2025-08-27,SALES008,Express,NET15,Cancelled,Normal,452.55,34.49,EUR,9494 Main Dr Chicago IL 62728,9494 Main Dr Chicago IL 62728
SO20250820272,CUST0159,2025-07-23,2025-08-26,SALES001,Freight,NET45,Delivered,Low,1389.8799999999999,81.76,EUR,8176 Second St Generic City WA 70490,8176 Second St Generic City WA 70490
SO20250820273,CUST0054,2025-08-14,2025-08-31,SALES001,Ground,NET15,Cancelled,Normal,1188.3400000000001,82.91,USD,7555 Oak St Generic City NJ 42032,5959 Corporate Blvd Generic City GA 11601
SO20250820274,CUST0016,2025-08-18,2025-08-30,SALES002,Pickup,Wire Transfer,Cancelled,High,4639.759999999999,353.61,EUR,9159 Washington Ave San Antonio TX 48129,9159 Washington Ave San Antonio TX 48129
SO20250820275,CUST0216,2025-07-24,2025-08-25,SALES004,2-Day,Wire Transfer,Processing,High,4524.410000000001,335.14,CAD,6584 Second Ave Generic City PA 46012,2179 Industrial St Generic City NC 94439
SO20250820276,CUST0218,2025-07-23,2025-08-25,SALES003,Pickup,NET15,On Hold,Low,4975.34,368.54,CAD,8595 Washington Rd Houston TX 55574,8595 Washington Rd Houston TX 55574
SO20250820277,CUST0360,2025-08-10,2025-08-30,SALES003,Express,NET45,Cancelled,Urgent,1728.77,101.69,CAD,4312 First Ave Rockford IL 40621,4312 First Ave Rockford IL 40621
